CODE,ALIAS_CODE,ALIAS_TYPE
GR008,EL21,NUTS2
FR038,FR716,NUTS3
FR048,FR524,NUTS3
FR058,FR245,NUTS3
FR068,FR102,NUTS3
FR085,FR214,NUTS3
FR092,FR512,NUTS3
GR009,EL25,NUTS2
FR039,FR711,NUTS3
FR049,FR511,NUTS3
FR059,FR241,NUTS3
FR069,FR302,NUTS3
FR086,FR421,NUTS3
FR093,FR244,NUTS3
FR040,FR724,NUTS3
FR050,FR523,NUTS3
FR060,FR262,NUTS3
FR070,FR301,NUTS3
FR087,FR413,NUTS3
FR094,FR533,NUTS3
FR041,FR632,NUTS3
FR051,FR252,NUTS3
FR061,FR246,NUTS3
FR071,FR223,NUTS3
FR078,FR261,NUTS3
GR001,EL14,NUTS2
FR042,FR243,NUTS3
FR052,FR251,NUTS3
FR062,FR264,NUTS3
FR072,FR222,NUTS3
FR079,FR432,NUTS3
GR002,EL23,NUTS2
GR010,EL22,NUTS2
GR011,EL30,NUTS2
GR012,EL42,NUTS2
GR014,EL41,NUTS2
GR016,EL43,NUTS2
HR001,HR03,NUTS2
HR002,HR04,NUTS2
HU001,HU32,NUTS2
HU002,HU22,NUTS2
HU003,HU21,NUTS2
HU004,HU23,NUTS2
HU005,HU33,NUTS2
HU006,HU10,NUTS2
HU007,HU31,NUTS2
IE006,EI26,FIPS
IE007,EI04,FIPS
IE008,EI11,FIPS
IE009,EI27,FIPS
IE010,EI30,FIPS
IE011,EI31,FIPS
IE012,EI07,FIPS
IE013,EI16,FIPS
IE014,EI03,FIPS
IE015,EI10,FIPS
IE016,EI20,FIPS
IE017,EI25,FIPS
IE018,EI06,FIPS
IE019,EI19,FIPS
IE020,EI01,FIPS
IE021,EI13,FIPS
IE022,EI15,FIPS
IE023,EI21,FIPS
IE024,EI29,FIPS
IE025,EI18,FIPS
IE026,EI24,FIPS
IE027,EI02,FIPS
IE028,EI23,FIPS
IE029,EI14,FIPS
IE030,EI12,FIPS
IE031,EI22,FIPS
LT001,LT001,NUTS3
LT002,LT002,NUTS3
LT003,LT003,NUTS3
LT004,LT004,NUTS3
LT005,LT005,NUTS3
LT006,LT006,NUTS3
LT007,LT007,NUTS3
LT008,LT008,NUTS3
LT009,LT009,NUTS3
LT010,LT00A,NUTS3
LV001,LV008,NUTS3
LV002,LV005,NUTS3
LV003,LV009,NUTS3
LV004,LV003,NUTS3
ME001,ME000,NUTS3
MK001,MK008,NUTS3
MK001,MK001,NUTS3
MK001,MK007,NUTS3
MK001,MK002,NUTS3
MK003,MK003,NUTS3
MK003,MK005,NUTS3
MK005,MK006,NUTS3
MK006,MK004,NUTS3
NL007,NL11,NUTS2
NL008,NL23,NUTS2
NL009,NL33,NUTS2
NL010,NL34,NUTS2
NL011,NL32,NUTS2
NL012,NL42,NUTS2
NL013,NL41,NUTS2
NL014,NL22,NUTS2
NL015,NL31,NUTS2
NL016,NL21,NUTS2
NL017,NL12,NUTS2
NL018,NL13,NUTS2
NL019,NL321,NUTS3
NL019,NL121,NUTS3
NL019,NL113,NUTS3
NO001,NO041,NUTS3
NO002,NO033,NUTS3
NO003,NO043,NUTS3
NO004,NO052,NUTS3
NO005,NO053,NUTS3
NO014,NO031,NUTS3
RO004,RO215,NUTS3
RO014,RO214,NUTS3
RO031,RO222,NUTS3
SE007,SE232,NUTS3
SE021,SE110,NUTS3
SE035,SE214,NUTS3
NO006,NO062,NUTS3
NO018,NO061,NUTS3
RO008,RO224,NUTS3
RO018,RO116,NUTS3
RO025,RO317,NUTS3
RO035,RO414,NUTS3
RO042,RO126,NUTS3
SE014,SE124,NUTS3
NO008,NO021,NUTS3
NO019,NO071,NUTS3
RO009,RO225,NUTS3
RO019,RO111,NUTS3
RO026,RO314,NUTS3
RO036,RO311,NUTS3
SE001,SE221,NUTS3
SE016,SE121,NUTS3
NO009,NO022,NUTS3
NO020,NO072,NUTS3
RO010,RO223,NUTS3
RO020,RO421,NUTS3
RO027,RO321,NUTS3
RO037,RO415,NUTS3
SE002,SE224,NUTS3
SE017,SE311,NUTS3
NO011,NO012,NUTS3
RO001,RO121,NUTS3
RO011,RO312,NUTS3
RO021,RO424,NUTS3
RO028,RO322,NUTS3
RO038,RO412,NUTS3
SE003,SE212,NUTS3
SE018,SE321,NUTS3
NO012,NO034,NUTS3
RO002,RO115,NUTS3
RO012,RO315,NUTS3
RO022,RO422,NUTS3
RO029,RO313,NUTS3
RO039,RO423,NUTS3
SE005,SE211,NUTS3
SE019,SE331,NUTS3
NO013,NO032,NUTS3
RO003,RO114,NUTS3
RO013,RO221,NUTS3
RO030,RO316,NUTS3
SE006,SE213,NUTS3
SE020,SE332,NUTS3
NO015,NO073,NUTS3
RO005,RO212,NUTS3
RO015,RO211,NUTS3
RO032,RO226,NUTS3
SE010,SE123,NUTS3
SE024,SE125,NUTS3
SE038,SE231,NUTS3
NO016,NO042,NUTS3
RO006,RO213,NUTS3
RO016,RO124,NUTS3
RO023,RO413,NUTS3
RO033,RO123,NUTS3
RO040,RO113,NUTS3
SE012,SE312,NUTS3
SE025,SE313,NUTS3
NO017,NO051,NUTS3
RO007,RO216,NUTS3
RO017,RO112,NUTS3
RO024,RO411,NUTS3
RO034,RO122,NUTS3
RO041,RO125,NUTS3
SE013,SE122,NUTS3
SE028,SE322,NUTS3
DE111,103252000,WARNCELL
DE112,109376000,WARNCELL
DE113,105166000,WARNCELL
DE114,105116000,WARNCELL
DE115,116073000,WARNCELL
DE116,109171000,WARNCELL
DE117,109271000,WARNCELL
DE118,106435000,WARNCELL
DE119,105754000,WARNCELL
DE120,109762000,WARNCELL
DE121,109673000,WARNCELL
DE122,103354000,WARNCELL
DE123,116064000,WARNCELL
DE124,103405000,WARNCELL
DE125,105558000,WARNCELL
DE126,114713000,WARNCELL
DE127,105366000,WARNCELL
DE128,105111000,WARNCELL
DE129,112071000,WARNCELL
DE130,109181000,WARNCELL
DE131,105770000,WARNCELL
DE132,105117000,WARNCELL
DE133,106412000,WARNCELL
DE134,105954000,WARNCELL
DE135,115002000,WARNCELL
DE136,110046000,WARNCELL
DE137,110042000,WARNCELL
DE138,103351000,WARNCELL
DE139,109562000,WARNCELL
DE140,112066000,WARNCELL
DE141,115086000,WARNCELL
DE142,103357000,WARNCELL
DE143,107133000,WARNCELL
DE144,112073000,WARNCELL
DE145,115084000,WARNCELL
DE146,108216000,WARNCELL
DE147,109779000,WARNCELL
DE148,107143000,WARNCELL
DE149,116063000,WARNCELL
DE150,109564000,WARNCELL
DE152,108235000,WARNCELL
DE153,107334000,WARNCELL
DE154,103402000,WARNCELL
DE155,105974000,WARNCELL
DE156,101001000,WARNCELL
DE157,105370000,WARNCELL
DE158,101061000,WARNCELL
DE159,105915000,WARNCELL
DE160,107336000,WARNCELL
DE161,105513000,WARNCELL
DE162,116052000,WARNCELL
DE163,108426000,WARNCELL
DE164,105162000,WARNCELL
DE165,109273000,WARNCELL
DE166,106433000,WARNCELL
DE167,105515000,WARNCELL
DE168,108417000,WARNCELL
DE169,103241000,WARNCELL
DE170,103353000,WARNCELL
DE171,105570000,WARNCELL
DE172,112061000,WARNCELL
DE173,104012000,WARNCELL
DE174,109764000,WARNCELL
DE175,108327000,WARNCELL
DE176,103255000,WARNCELL
DE177,106634000,WARNCELL
DE178,109478000,WARNCELL
DE179,114729000,WARNCELL
DE180,115087000,WARNCELL
DE181,101060000,WARNCELL
DE182,107134000,WARNCELL
DE183,109172000,WARNCELL
DE184,108222000,WARNCELL
DE185,106531000,WARNCELL
DE186,105122000,WARNCELL
DE196,109572000,WARNCELL
DE206,116072000,WARNCELL
DE213,109479000,WARNCELL
DE223,108115000,WARNCELL
DE233,112064000,WARNCELL
DE243,105374000,WARNCELL
DE253,105170000,WARNCELL
DE269,105970000,WARNCELL
DE279,106636000,WARNCELL
DE289,105314000,WARNCELL
DE299,105315000,WARNCELL
DE309,109372000,WARNCELL
DE316,109363000,WARNCELL
DE151,103159000,WARNCELL
DE336,105112000,WARNCELL
DE346,108136000,WARNCELL
DE356,107233000,WARNCELL
DE373,116062000,WARNCELL
DE383,103355000,WARNCELL
DE187,112069000,WARNCELL
DE197,107333000,WARNCELL
DE207,105124000,WARNCELL
DE214,107135000,WARNCELL
DE224,105562000,WARNCELL
DE234,113003000,WARNCELL
DE244,103151000,WARNCELL
DE254,116070000,WARNCELL
DE270,107138000,WARNCELL
DE280,109776000,WARNCELL
DE290,108225000,WARNCELL
DE300,107141000,WARNCELL
DE310,103251000,WARNCELL
DE317,103358000,WARNCELL
DE327,105762000,WARNCELL
DE337,103401000,WARNCELL
DE347,108211000,WARNCELL
DE357,115082000,WARNCELL
DE364,105113000,WARNCELL
